community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
Canterbury Apartments,"20019 Sweetgum CircleGermantown, MD 20874","$1,552",2 Bedrooms,"Canterbury Apartments are located in the serene Germantown, MD, providing nature views, spacious apartments, and stylish amenities.",34,1,1.0,709,3,True,350.0,1734.0,1734.0,"['Premium interior', 'Light oak on white finish package', 'White quartz countertops', 'Light oak cabinetry', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Premium hardware finishes', 'Patio / balcony', 'Washer and dryer', 'Breakfast bar', 'Carpet flooring', 'Stainless steel sink', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Tub / shower combo', 'Microwave']","['Brand new resident entertainment lounge', 'Newly renovated fitness center', 'Olympic size pool', 'Pet friendly', 'Playground']"
Lakewood Place,"1701 Lake Chapman DriveBrandon, FL 33510","$1,281",2 Bedrooms,"Enjoy the good life, Florida style, at Lakewood Place apartments in Brandon.",101,1,1.0,600,1,True,400.0,1417.0,1417.0,"['White on white finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Tile flooring', 'Washer and dryer', 'Ceiling fans', 'Wood blinds', 'Tile floors', 'White cabinetry', 'White countertops']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse', 'Dog park', 'Grilling areas', 'On-site laundry', 'On-site maintenance', 'Outdoor seating areas', 'Outside storage', 'Pet friendly', 'Playground', 'Swimming pools (2)', 'Tennis courts']"
Strata,"969 Market StreetSan Diego, CA 92101","$2,776",3 Bedrooms,"Nestled in the East Village, a vibrant downtown San Diego neighborhood, Strata is part dynamic hub and part restful retreat.",1205,1,1.0,813,12,True,550.0,2779.0,2779.0,"['Downtown view', 'Bay view', 'Pebble finish', 'Smart Home + GiGstreem Internet', 'Built-in bookcase', 'Granite countertops', 'Wood plank flooring', 'Patio/ balcony', 'Washer and dryer', 'Walk-in closet', 'Floor-to-ceiling windows', 'Travertine tile flooring in kitchen/ bathroom', 'Dual vanity', 'Soaking tub', 'Espresso Cabinetry']","['24-hour fitness center', 'Airbnb-friendly', '24-hour package lockers', 'Bike storage', 'Business center and conference room', 'Demonstration kitchen', 'Dog walk area', 'Electric vehicle charging stations', 'Elevator', 'Fire pit area', 'Grilling area', 'On-site ATM', 'On-site retail', 'On-site storage', 'Pet friendly', 'Resident club with HDTV lounge', 'Swimming pool and sundeck', 'Theater', 'Underground controlled access parking garage', 'Wi-Fi (in common areas)', 'Wine lockers']"
Cambridge Woods,"14138 Monterey Pines DriveTampa, FL 33613","$1,244",3 Bedrooms,"Enjoy views of soft green lawns, tall trees, and ponds at Cambridge Woods, located in University Center.",202,1,1.0,580,2,True,550.0,1443.0,1443.0,"['Updated interior', 'White on sand finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Carpet flooring', 'Ceiling fan(s)', 'White Cabinetry']","['24-hour fitness center', '24-hour package locker', 'Airbnb-friendly', 'Business center', 'Clubhouse with Wi-Fi', 'Dog park with agility equipment', 'Dog wash room', 'Fire pit', 'Game room', 'On-site maintenance', 'Outdoor kitchen', 'Pet friendly', 'Swimming pools (2)']"
Bay Terrace,"3204 Casa De Campo WaySan Mateo, CA 94403","$2,798",3 Bedrooms,"Located in the established community of East San Mateo, our stylish apartments offer residents a convenient place to call home.",32493,2,1.0,750,1,True,675.0,2800.0,2800.0,"['White on white finish package', 'Black appliances', 'White cabinets', 'White countertops', 'Wood plank flooring']","['Accepts Credit Cards (Fee Applies)', 'Courtesy patrol', 'Covered parking', 'On-site laundry', 'Package receiving', 'Pet friendly']"
Summit West,"11500 Summit West BoulevardTampa, FL 33617","$1,400",3 Bedrooms,Summit West provides stylish apartments within the thriving neighborhood of Temple Terrace.,32E,1,1.0,817,1,True,400.0,1400.0,1400.0,"['Cherry finish package', 'Smart Home + GiGstreem Internet', 'Wood plank flooring', 'Granite countertops', 'Washer and dryer connection', 'Tile backsplash', 'Cherry cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Basketball court', 'Business center', 'Clubhouse', 'Laundry facilities', 'Lighted dog park', 'On-site maintenance', 'Outdoor fitness area', 'Outdoor kitchen', 'Pet friendly', 'Playground', 'Reserved parking', 'Swimming pools']"
Station on Silver,"2340 Carta WayHerndon, VA 20171","$2,051",2 Bedrooms,"Station on Silver is a stylish apartment community offering contemporary design, luxurious amenities, and a convenient location in Herndon.",2069,1,1.0,763,2,True,350.0,2142.0,2142.0,"['Courtyard view', 'Balcony', 'White/walnut on white finish package', 'Stainless steel appliances', 'Quartz countertops', 'Grey wood plank flooring', 'Washer and dryer', 'Smart home package', 'Roll-down window shades', 'Subway tile backsplash', 'Glass top stove', 'Walk-in closets', 'White quartz bathroom vanities', 'Porcelain tile bathroom flooring', 'Tile tub surround', 'Carpeted bedrooms', 'Air conditioning', 'Dishwasher', 'Microwave', 'Garbage disposal', 'White/Walnut cabinetry']","['24-hour package pickup', 'Airbnb-friendly', 'Bike storage', 'Billiards', 'Community playground', 'Conference room', 'Dry cleaning lockers', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Foosball tables', 'Grilling areas', 'iMac community computers', 'Media and game room', 'Neighborhood dog park', 'NGBS Certified Silver', 'Outdoor firepits', 'Outdoor kitchen and bar', 'Parking garage', 'Pet washing and grooming stations ', 'Poker table', 'Pool', 'Poolside wet bar/ lounge', 'Prep kitchen', 'Relax courtyard', 'Rooftop sky lounge', 'TRX system', 'WELLBEATS virtual fitness classes', 'Yoga/spin studio']"
Seneca Place,"19228 Circle Gate Dr.Germantown, MD 20874","$1,724",3 Bedrooms,"Seneca Place apartments are located in the serene Germantown, MD, providing nature views, spacious apartments, and convenient amenities.",101,3,2.0,1205,1,True,400.0,2100.0,2100.0,"['Brown on sand finish package', 'Smart Home package', 'Brown cabinetry', 'Sand countertops', 'Washer and dryer', 'Walk-in closets', 'Ceiling fans', 'Carpet flooring', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Tub / shower combo']","['Dog parks', 'Fitness center', 'Grilling stations', 'MARC Train Germantown stop', 'Olympic size pool', 'On-site storage', 'Outdoor fitness area', 'Package lockers', 'Parking', 'Pet friendly', 'Picnic areas', 'Playgrounds', 'School bus pickup', 'Soccer field', 'Sundeck with cabanas']"
Andover Place at Cross Creek,"10328 Venitia Real AvenueTampa, FL 33647","$1,314",3 Bedrooms,"Andover Place at Cross Creek is a beautiful apartment community offering elegance, tranquility, and convenience in Tampa.",101,1,1.0,842,1,True,400.0,1485.0,1485.0,"['White on grey finish package', 'Screened-in patio/balcony', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Tile backsplash', 'Washer and dryer', 'Glasstop stove', 'Exterior storage closets', 'Large closets', 'Ceiling fans', 'Crown molding', 'Microwave', 'Pantry', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Ceramic tile entry foyer', 'Upgraded bathroom fixtures', 'White cabinetry', 'Grey laminate countertops']","['24-hour package pickup', 'Car care centers', 'Detached garages available', '2 Fitness centers', 'Four swimming pools', 'Outdoor grills', 'Pickle ball', 'Playgrounds', 'Spas', 'Tennis courts']"
Polo Park,"100 Jackson Downs BoulevardNashville, TN 37214","$1,142",2 Bedrooms,"For luxurious living in a wooded lakeside setting, make Polo Park apartments near downtown Nashville your next  home.",0407,1,1.0,612,1,True,250.0,1270.0,1270.0,"['Lake view', 'Oak on coffee finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Patio/balcony', 'Ceiling fan', 'Oak cabinetry', 'Coffee countertops']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse', 'Fire pit', 'Fitness trail', 'Fitness on demand', 'Dog park', 'Dry sauna', 'Grilling area', 'Pavillion', 'Pet friendly', 'Playground', 'Pool gallery patio (available for event rentals)', 'Swimming pools (2)', 'Tanning bed', 'Tennis, pickle-ball, and racquetball courts', 'Veranda with fire pit (available for event rental)']"
